ID,Scheme,Source,Language,Comment,Sentiment
256,Sagarmala,Instagram,hi,Sagarmala के तहत काम बहुत अच्छा हुआ हमारे जिले में।,Positive
257,Bharatmala,Instagram,hi,Bharatmala योजना की वजह से परिवार की आर्थिक स्थिति बेहतर हुई।,Positive
258,Fasal Bima,News App,en,We applied for Fasal Bima and received benefits within three months.,Positive
259,Smart Cities,Instagram,en,"Three offices visited, no one could explain how to access Smart Cities.",Negative
260,AMRUT,Instagram,en,"AMRUT reached the poorest families in our district, excellent work.",Positive
261,FAME,Twitter,en,FAME benefit was given to the wrong family due to data errors.,Negative
262,Digital India,YouTube,hinglish,"Digital India ka kaam acha hua hamare area mein, log khush hain.",Positive
263,Make in India,Twitter,en,"Sure, Make in India is working perfectly. That is why nobody in my village got it.",Sarcasm
264,Smart Cities,Twitter,en,"Smart Cities portal crash karta rehta hai, registration ho hi nahi pati.",Negative
265,Jal Jeevan Mission,Instagram,en,"The Jal Jeevan Mission money never reached us, middlemen swallowed everything.",Negative
266,PM Garib Kalyan,YouTube,en,"Applied for PM Garib Kalyan two years ago, still waiting, corruption at every step.",Negative
267,Jal Jeevan Mission,Twitter,en,Jal Jeevan Mission sounds great on paper but ground implementation is terrible.,Negative
268,Mudra Yojana,Twitter,en,The officials handling Mudra Yojana demand bribes before processing anything.,Negative
269,Atmanirbhar Bharat,Twitter,en,Government should publish transparent data on actual Atmanirbhar Bharat impact.,Neutral
270,Make in India,Twitter,en,The Make in India initiative is working well in our panchayat area.,Positive
271,Digital India,News App,en,"Rural areas are completely ignored under Digital India, only cities benefit.",Negative
272,UPI,News App,en,"Garib insaan UPI ki itni paperwork kahan se laayega, practical nahi.",Negative
273,PM Kisan,Twitter,en,"PM Kisan was launched before elections, nothing changed after voting.",Negative
274,Make in India,Twitter,hi,"Make in India के मिश्रित नतीजे हैं, जगह-जगह अलग अनुभव है।",Neutral
275,PM Jeevan Jyoti Bima,YouTube,en,I have no direct experience with PM Jeevan Jyoti Bima yet so cannot comment properly.,Neutral
276,Vishwakarma Yojana,Twitter,en,I was skeptical about Vishwakarma Yojana but it genuinely helped my family this year.,Positive
277,Startup India,News App,hi,Startup India के तहत काम बहुत अच्छा हुआ हमारे जिले में।,Positive
278,Kisan Credit Card,YouTube,en,We applied for Kisan Credit Card and received benefits within three months.,Positive
279,Smart Cities,YouTube,hi,Smart Cities के तहत काम बहुत अच्छा हुआ हमारे जिले में।,Positive
280,Skill India,News App,en,Thanks to Skill India my family now has access to something we never had before.,Positive
281,Jan Dhan Yojana,News App,en,"Three offices visited, no one could explain how to access Jan Dhan Yojana.",Negative
282,PMAY,Twitter,en,We applied for PMAY and received benefits within three months.,Positive
283,Jan Dhan Yojana,YouTube,en,"Yaar Jan Dhan Yojana se humein real benefit mila, highly recommend karunga.",Positive
284,PMGSY,YouTube,hi,"वाह क्या बात है! PMGSY के लिए तीन साल से इंतज़ार, अभी तक कुछ नहीं। कमाल! 🙄",Sarcasm
285,Poshan Abhiyaan,YouTube,hi,"वाह क्या बात है! Poshan Abhiyaan के लिए तीन साल से इंतज़ार, अभी तक कुछ नहीं। कमाल! 🙄",Sarcasm
286,Jal Jeevan Mission,News App,en,Results from Jal Jeevan Mission are mixed depending heavily on which district you are in.,Neutral
287,PM SVANidhi,Instagram,en,"PM SVANidhi ke baare mein suna hai, apply nahi kiya abhi tak.",Neutral
288,PM Garib Kalyan,YouTube,hi,"PM Garib Kalyan से हमें कोई फायदा नहीं हुआ, सिर्फ चक्कर लगाने पड़े।",Negative
289,PM Jeevan Jyoti Bima,Twitter,hinglish,"PM Jeevan Jyoti Bima ka paisa neta log kha jaate hain, public ko kuch nahi.",Negative
290,UPI,YouTube,en,UPI benefit was rejected without any proper explanation given to us.,Negative
291,Fasal Bima,Instagram,en,"Fasal Bima ne sach mein farak padaya, family bahut khush hai.",Positive
292,Mudra Yojana,YouTube,en,Heard about Mudra Yojana but have not applied for it yet personally.,Neutral
293,Mudra Yojana,YouTube,en,"Mudra Yojana ke baare mein suna hai, apply nahi kiya abhi tak.",Neutral
294,PM Matru Vandana,News App,hi,PM Matru Vandana के फायदे तीन महीने में ही मिलने शुरू हो गए।,Positive
295,Ayushman Bharat Digital Mission,Instagram,en,"Rural areas are completely ignored under Ayushman Bharat Digital Mission, only cities benefit.",Negative
296,FAME,YouTube,hinglish,FAME enrollment easy tha aur time pe benefit mila.,Positive
297,Skill India,Twitter,hi,"Skill India का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
298,Saubhagya,Instagram,hinglish,Saubhagya sirf election ke time ka dikhawa hai bhai.,Negative
299,BharatNet,Instagram,hi,"BharatNet का पोर्टल काम नहीं करता, रजिस्ट्रेशन हो ही नहीं पाई।",Negative
300,e-NAM,Twitter,en,Three years of waiting and still no benefit received under e-NAM.,Negative
301,Bharatmala,Twitter,hinglish,"Bharatmala ka kaam acha hua hamare area mein, log khush hain.",Positive
302,Smart Cities,Instagram,en,Smart Cities exists in our area but I do not know anyone who actually got it.,Neutral
303,PMAY,Instagram,hi,"PMAY सिर्फ कागजों पर है, जमीन पर कुछ नहीं होता।",Negative
304,PM Garib Kalyan,YouTube,en,The PM Garib Kalyan policy is well designed but execution varies greatly by district.,Neutral
305,Sukanya Samriddhi,YouTube,hi,Sukanya Samriddhi के तहत काम बहुत अच्छा हुआ हमारे जिले में।,Positive
306,Stand Up India,Public Forum,hi,"दो साल से Stand Up India के लिए आवेदन किया, अभी तक कोई जवाब नहीं।",Negative
307,Beti Bachao Beti Padhao,News App,en,The officials handling Beti Bachao Beti Padhao demand bribes before processing anything.,Negative
308,Digital India,News App,hi,हमारे ब्लॉक में Digital India का क्रियान्वयन बहुत अच्छे से हुआ।,Positive
309,Ujjwala Yojana,News App,en,"Launched recently, still too early to fully judge Ujjwala Yojana effectiveness.",Neutral
310,Bharatmala,Instagram,en,Results from Bharatmala are mixed depending heavily on which district you are in.,Neutral
311,PM Matru Vandana,YouTube,en,PM Matru Vandana benefit was rejected without any proper explanation given to us.,Negative
312,Sukanya Samriddhi,YouTube,en,Sukanya Samriddhi made a difference that we can see and feel every single day.,Positive
313,Make in India,News App,en,Thanks to Make in India my family now has access to something we never had before.,Positive
314,Ayushman Bharat Digital Mission,Twitter,hinglish,"Ayushman Bharat Digital Mission ka kaam acha hua hamare area mein, log khush hain.",Positive
315,Bharatmala,News App,en,We applied for Bharatmala and received benefits within three months.,Positive
316,e-NAM,Instagram,hinglish,"Kuch logon ko e-NAM se mila kuch ko nahi, mixed results hain.",Neutral
317,BharatNet,News App,en,BharatNet gave us access to services we could never afford before.,Positive
318,PM Kisan,Twitter,hi,"PM Kisan के मिश्रित नतीजे हैं, जगह-जगह अलग अनुभव है।",Neutral
319,Atal Pension Yojana,Public Forum,en,"The Atal Pension Yojana portal keeps crashing, impossible to complete registration.",Negative
320,Ujjwala Yojana,Public Forum,en,"Rural areas are completely ignored under Ujjwala Yojana, only cities benefit.",Negative
321,UPI,Public Forum,hinglish,"Sure sure, UPI ka paisa zaroor sahi jagah pahuncha. Politicians ko kya pata! 🙄",Sarcasm
322,Sagarmala,Instagram,en,Need more time to assess the real long-term impact of Sagarmala.,Neutral
323,PMGSY,Public Forum,en,"The quality under PMGSY was terrible, completely unusable.",Negative
324,BharatNet,Instagram,en,The implementation of BharatNet in our village was smooth and effective.,Positive
325,Kisan Credit Card,Twitter,hinglish,"Kisan Credit Card ka paisa neta log kha jaate hain, public ko kuch nahi.",Negative
326,One Nation One Ration Card,Instagram,en,I was skeptical about One Nation One Ration Card but it genuinely helped my family this year.,Positive
327,Ayushman Bharat,Instagram,hinglish,Ayushman Bharat enrollment easy tha aur time pe benefit mila.,Positive
328,PMGSY,Twitter,en,The PMGSY policy is well designed but execution varies greatly by district.,Neutral
329,Beti Bachao Beti Padhao,Public Forum,hinglish,"Beti Bachao Beti Padhao ka paisa neta log kha jaate hain, public ko kuch nahi.",Negative
330,Atal Pension Yojana,Twitter,hinglish,"Atal Pension Yojana se real help nahi mili, sirf dhakke khane pade office mein.",Negative
331,Bharatmala,Twitter,en,The Bharatmala initiative is working well in our panchayat area.,Positive
332,Smart Cities,YouTube,en,The Smart Cities initiative is working well in our panchayat area.,Positive
333,Ayushman Bharat Digital Mission,Instagram,hi,"Ayushman Bharat Digital Mission में भ्रष्टाचार है, बिना रिश्वत के कुछ नहीं होता।",Negative
334,PM eVIDYA,News App,en,After PM eVIDYA was launched our situation is exactly the same as before.,Negative
335,PMGSY,News App,en,Documents required for PMGSY are impossible for illiterate people to arrange.,Negative
336,Startup India,YouTube,en,"Real impact on the ground from Startup India, not just announcements.",Positive
337,Solar Rooftop,Public Forum,hi,"Solar Rooftop का लाभ हमारे परिवार को सही में मिला, बहुत फायदा हुआ।",Positive
338,Beti Bachao Beti Padhao,Instagram,en,The Beti Bachao Beti Padhao scheme has genuinely transformed living conditions in rural India.,Positive
339,Vishwakarma Yojana,YouTube,hi,"Vishwakarma Yojana का पोर्टल काम नहीं करता, रजिस्ट्रेशन हो ही नहीं पाई।",Negative
340,Jan Dhan Yojana,News App,en,People in my block are actually happy with how Jan Dhan Yojana was executed.,Positive
341,Sukanya Samriddhi,Public Forum,en,Sukanya Samriddhi se gareeb logo ki life mein real change aaya hai.,Positive
342,PM Suraksha Bima,YouTube,en,PM Suraksha Bima se gareeb logo ki life mein real change aaya hai.,Positive
343,PMAY,Twitter,en,The intentions behind PMAY seem good but delivery is unclear.,Neutral
344,AMRUT,Public Forum,en,"Oh brilliant, AMRUT launched right before elections. What a coincidence! 🙄",Sarcasm
